File name,sample(1).kcd
Result analysis file name,sample(1).raf
Subject,20181018optD1798D179
Gender,Female
Age,0Year 2Month

Memo,20181018optD1798D1799D1800BSL2D1801D1802D1803
Free comment 1,Recording,
Free comment 2,Ch1 ,optD1798
Free comment 3,ch2 ,optD1799
Free comment 4,Ch3 ,optD1800
Free comment 5,Ch4,BSL2D1801
Free comment 6,Ch5 ,BSL2D1802
Free comment 7,Ch6,BSL2D1803
Free comment 8,Ch7 ,
Free comment 9,Ch8,
Free comment 10,Operator,Sima

Time,Epoch No.,Stage,Free CV%,FFT Theta_Ratio,FFT Delta_Power,Free Integral,FFT Theta_Power,
,,,%,%,uV^2,,uV^2,
18/10/2018 11:05:10,0,RW,77.963669,16.008566,211.527496,209661.734375,40.316631,
18/10/2018 11:05:20,1,RW,73.930450,31.833620,130.047272,211221.921875,60.731922,
18/10/2018 11:05:30,2,RW,71.977188,23.348900,144.126328,216678.062500,43.902710,
18/10/2018 11:05:40,3,RW,71.640778,18.304268,118.239174,208956.734375,26.491978,
18/10/2018 11:05:50,4,RW,71.114357,34.694424,128.094620,213086.156250,68.051910,
18/10/2018 11:06:00,5,RW,74.296623,22.296734,194.314941,204030.390625,55.758125,
18/10/2018 11:06:10,6,RW,73.340645,25.018993,250.445587,221175.593750,83.566452,
18/10/2018 11:06:20,7,RW,74.688873,15.070089,180.551468,207469.546875,32.037319,
18/10/2018 11:06:30,8,RW,79.287041,27.432383,135.330429,203474.468750,51.158302,
18/10/2018 11:06:40,9,RW,74.838104,52.399841,114.409996,213829.625000,125.946342,
18/10/2018 11:06:50,10,RW,71.215805,35.460800,151.368835,211561.593750,83.168991,
18/10/2018 11:07:00,11,RW,74.403534,25.226257,127.624893,207464.640625,43.056538,
18/10/2018 11:07:10,12,RW,75.323219,26.411154,170.626770,209450.625000,61.238216,
18/10/2018 11:07:20,13,RW,71.451591,41.351933,128.378174,229316.796875,90.517654,
18/10/2018 11:07:30,14,RW,78.394669,39.046028,109.091675,194622.828125,69.882179,
18/10/2018 11:07:40,15,RW,74.480766,30.247107,180.110428,214630.671875,78.101700,
18/10/2018 11:07:50,16,W,72.976845,14.269805,224.429474,212358.000000,37.356323,
18/10/2018 11:08:00,17,W,77.944565,36.796154,185.208466,224002.218750,107.825073,
18/10/2018 11:08:10,18,RW,77.830811,21.987173,192.163239,208239.875000,54.159378,
18/10/2018 11:08:20,19,RW,78.460381,23.749981,171.732468,205539.750000,53.490383,
18/10/2018 11:08:30,20,W,78.990097,26.547619,145.041107,211801.359375,52.421661,
18/10/2018 11:08:40,21,RW,70.723976,28.828861,201.787140,231933.390625,81.736694,
18/10/2018 11:08:50,22,RW,78.953857,15.891903,205.425385,221720.593750,38.814339,
18/10/2018 11:09:00,23,RW,78.092537,20.996990,147.327667,220142.937500,39.155945,
18/10/2018 11:09:10,24,RW,76.243942,46.082302,118.245514,205889.218750,101.061913,
