File name,sample(22).kcd
Result analysis file name,sample(22).raf
Subject,20181204trainD1831D1
Gender,Female
Age,0Year 2Month

Memo,20181204trainD1831D1832D1833test1834D1835D1836
Free comment 1,Recording,20181204trainD1831D1832D1833te
Free comment 2,Ch1 ,trainD1831
Free comment 3,ch2 ,trainD1832
Free comment 4,Ch3 ,trainD1833
Free comment 5,Ch4,testD1834
Free comment 6,Ch5 ,test1835
Free comment 7,Ch6,test1836
Free comment 8,Ch7,test1823
Free comment 9,Ch8,testD1824
Free comment 10,Operator,Deependra

Time,Epoch No.,Stage,Free CV%,FFT Theta_Ratio,FFT Delta_Power,Free Integral,FFT Theta_Power,
,,,%,%,uV^2,,uV^2,
04/12/2018 11:00:11,0,W,75.707680,15.909986,281.029388,234859.828125,53.171280,
04/12/2018 11:00:21,1,W*,75.053001,7.937666,797.987671,360021.406250,68.802948,
04/12/2018 11:00:31,2,W,72.881584,14.582036,166.440872,216421.609375,28.413774,
04/12/2018 11:00:41,3,W,76.052299,10.035767,299.172607,255683.671875,33.373558,
04/12/2018 11:00:51,4,RW,72.256172,11.877640,250.805542,230976.343750,33.805016,
04/12/2018 11:01:01,5,RW,74.146271,20.422968,210.165085,235015.453125,53.937607,
04/12/2018 11:01:11,6,W,74.020332,18.816868,278.506439,265350.593750,64.553055,
04/12/2018 11:01:21,7,W,72.156487,14.241484,330.162140,262784.906250,54.828358,
04/12/2018 11:01:31,8,W,81.441154,16.041445,289.744598,247829.953125,55.359722,
04/12/2018 11:01:41,9,W,73.447136,17.197144,205.751526,234715.218750,42.732082,
04/12/2018 11:01:51,10,W,81.559341,18.056030,189.941147,222048.828125,41.852783,
04/12/2018 11:02:01,11,W,75.451347,8.019283,254.190582,241452.578125,22.161453,
04/12/2018 11:02:11,12,W,75.821098,30.037117,123.459732,219160.343750,53.004883,
04/12/2018 11:02:21,13,W,70.481407,13.494275,192.296295,225218.765625,29.996849,
04/12/2018 11:02:31,14,W,80.312286,8.980228,336.580231,215610.609375,33.207809,
04/12/2018 11:02:41,15,W,75.689804,11.947088,196.102524,202882.406250,26.607344,
04/12/2018 11:02:51,16,W,77.121223,12.812034,203.788513,211353.156250,29.946167,
04/12/2018 11:03:01,17,RW,71.117668,22.392019,208.918839,228125.312500,60.278786,
04/12/2018 11:03:11,18,RW,66.399529,9.246628,278.043365,243899.984375,28.329123,
04/12/2018 11:03:21,19,RW,76.279182,19.230207,210.749191,222622.078125,50.176567,
04/12/2018 11:03:31,20,RW,77.832710,10.231307,331.611328,239170.218750,37.795105,
04/12/2018 11:03:41,21,RW,74.376938,24.853697,232.690155,226009.375000,76.959351,
04/12/2018 11:03:51,22,RW,79.689621,38.410313,110.962708,214738.687500,69.201721,
04/12/2018 11:04:01,23,RW,78.745811,15.658587,354.507446,225604.109375,65.816841,
04/12/2018 11:04:11,24,RW,81.226784,14.848773,204.850021,232369.734375,35.721992,
04/12/2018 11:04:21,25,RW,75.789421,24.845364,230.043106,232810.296875,76.049927,
04/12/2018 11:04:31,26,W,76.575470,13.033276,263.169128,247030.046875,39.439865,
04/12/2018 11:04:41,27,W,72.547928,19.774694,217.388260,235487.031250,53.583923,
04/12/2018 11:04:51,28,RW,71.617973,16.712147,132.407410,206480.390625,26.568243,
04/12/2018 11:05:01,29,W,75.540794,7.795348,267.003632,224149.734375,22.573547,
04/12/2018 11:05:11,30,W,71.347305,23.017609,191.967072,220993.718750,57.397839,
04/12/2018 11:05:21,31,W,78.634468,10.732436,184.909271,201522.296875,22.231222,
04/12/2018 11:05:31,32,W,77.911705,9.307380,215.297684,207116.531250,22.095043,
04/12/2018 11:05:41,33,W,79.456741,11.114573,199.715317,196098.109375,24.973164,
04/12/2018 11:05:51,34,W,72.355415,12.510559,161.130249,209417.718750,23.040833,
04/12/2018 11:06:01,35,W,73.318054,30.242088,189.281799,220583.718750,82.059181,
04/12/2018 11:06:11,36,W,76.403572,8.714137,195.222656,211828.140625,18.635931,
04/12/2018 11:06:21,37,W,75.097466,15.243717,256.369324,219171.656250,46.108929,
04/12/2018 11:06:31,38,W,71.096687,22.613533,146.411255,229540.000000,42.783653,
04/12/2018 11:06:41,39,W,78.069359,6.397820,274.310852,228312.250000,18.749472,
04/12/2018 11:06:51,40,W,78.138733,5.074483,332.452576,238284.562500,17.772091,
04/12/2018 11:07:01,41,W,79.025322,19.149607,179.786133,207433.843750,42.582771,
04/12/2018 11:07:11,42,W,71.409981,16.811897,216.453568,215290.187500,43.744175,
04/12/2018 11:07:21,43,W,80.236076,11.693180,270.809265,211653.859375,35.859310,
04/12/2018 11:07:31,44,W,76.154533,12.171864,231.023178,230345.765625,32.016876,
04/12/2018 11:07:41,45,W,77.978622,12.428894,214.487061,238598.890625,30.441971,
04/12/2018 11:07:51,46,W,81.891403,13.005363,342.873138,248088.156250,51.258217,
04/12/2018 11:08:01,47,W,77.039108,6.374672,239.331940,210713.921875,16.295404,
04/12/2018 11:08:11,48,W,78.152130,16.886278,184.772644,203347.843750,37.540398,
04/12/2018 11:08:21,49,W,76.520958,19.546158,155.188553,201298.375000,37.702858,
04/12/2018 11:08:31,50,W,79.245361,15.799858,224.028641,217255.125000,42.038181,
04/12/2018 11:08:41,51,W,81.815598,21.820179,168.709091,211120.687500,47.087120,
04/12/2018 11:08:51,52,W,77.469215,7.113369,246.567337,217632.640625,18.882421,
04/12/2018 11:09:01,53,W,74.976883,13.435765,320.735870,235206.015625,49.781898,
04/12/2018 11:09:11,54,W,77.906754,13.451589,206.119232,219189.015625,32.035610,
04/12/2018 11:09:21,55,RW,76.451347,23.468454,245.833267,254579.765625,75.384949,
04/12/2018 11:09:31,56,RW,76.643661,31.120853,102.755478,183548.890625,46.426796,
04/12/2018 11:09:41,57,RW,77.313034,15.471950,207.902786,221188.359375,38.054367,
04/12/2018 11:09:51,58,W,78.589836,4.101956,537.265381,263127.906250,22.981066,
04/12/2018 11:10:01,59,W,77.788437,26.144279,182.345779,236452.453125,64.548813,
04/12/2018 11:10:11,60,RW*,75.712379,20.854143,268.209930,250316.875000,70.670639,
04/12/2018 11:10:21,61,W,78.780037,20.950394,213.756393,230635.781250,56.651520,
04/12/2018 11:10:31,62,W,72.528481,16.047256,222.840790,246540.234375,42.595192,
04/12/2018 11:10:41,63,W,80.294456,13.601799,334.705170,250246.328125,52.693138,
04/12/2018 11:10:51,64,RW*,74.055397,26.597862,295.299316,280561.625000,107.004112,
04/12/2018 11:11:01,65,RW,70.820473,30.234676,233.876144,249925.421875,101.356506,
04/12/2018 11:11:11,66,W,72.035950,12.623559,371.623169,271447.656250,53.689610,
04/12/2018 11:11:21,67,W,72.599495,14.505693,221.662018,251552.500000,37.609070,
04/12/2018 11:11:31,68,W,74.262794,15.576866,314.096558,262534.812500,57.953785,
04/12/2018 11:11:41,69,W,75.758537,14.579647,289.076904,226657.234375,49.339989,
04/12/2018 11:11:51,70,W*,140.204010,0.493320,13335.895508,802409.500000,66.114807,
04/12/2018 11:12:01,71,W,79.316917,15.560377,180.015152,270628.031250,33.172859,
04/12/2018 11:12:11,72,W,71.060089,19.480289,204.431976,242390.000000,49.458626,
04/12/2018 11:12:21,73,W,78.975578,13.052972,274.821930,239734.546875,41.257797,
04/12/2018 11:12:31,74,W,75.013542,11.681674,262.132233,225366.218750,34.671665,
04/12/2018 11:12:41,75,W,68.906090,10.323666,329.937988,239372.703125,37.982925,
04/12/2018 11:12:51,76,W,72.355293,6.780497,214.090759,209347.750000,15.572296,
04/12/2018 11:13:01,77,W,70.842903,15.879916,272.955322,233826.484375,51.527618,
04/12/2018 11:13:11,78,W,84.868706,8.460180,217.457397,197690.203125,20.097580,
