File name,sample(22).kcd
Result analysis file name,sample(22).raf
Subject,20181204trainD1831D1
Gender,Female
Age,0Year 2Month

Memo,20181204trainD1831D1832D1833test1834D1835D1836
Free comment 1,Recording,20181204trainD1831D1832D1833te
Free comment 2,Ch1 ,trainD1831
Free comment 3,ch2 ,trainD1832
Free comment 4,Ch3 ,trainD1833
Free comment 5,Ch4,testD1834
Free comment 6,Ch5 ,test1835
Free comment 7,Ch6,test1836
Free comment 8,Ch7,test1823
Free comment 9,Ch8,testD1824
Free comment 10,Operator,Deependra

Time,uV,uV,uV,V,
04/12/2018  11:00:11.000,-128.795975,1.144514,41.774761,5.000000,
04/12/2018  11:00:11.007,-126.201736,33.496109,-4.730658,5.000000,
04/12/2018  11:00:11.015,-115.481461,-2.212727,-33.457958,5.000000,
04/12/2018  11:00:11.023,-106.058296,23.920341,-18.350374,5.000000,
04/12/2018  11:00:11.031,-106.668701,42.881123,-25.103006,5.000000,
04/12/2018  11:00:11.039,-112.086067,7.439341,-21.326111,5.000000,
04/12/2018  11:00:11.046,-113.993591,7.591943,-48.451092,5.000000,
04/12/2018  11:00:11.054,-102.357697,-70.273155,-28.040592,5.000000,
04/12/2018  11:00:11.062,-84.426979,-102.815506,-5.264764,5.000000,
04/12/2018  11:00:11.070,-67.411873,-112.429420,2.746834,5.000000,
04/12/2018  11:00:11.078,-63.711277,-159.812302,2.365329,5.000000,
04/12/2018  11:00:11.085,-72.142532,-116.435219,-25.980467,5.000000,
04/12/2018  11:00:11.093,-76.186478,-116.206314,-12.704105,5.000000,
04/12/2018  11:00:11.101,-80.039673,-89.348389,-13.810469,5.000000,
04/12/2018  11:00:11.109,-82.595757,-21.516863,7.172287,5.000000,
04/12/2018  11:00:11.117,-79.009613,3.166489,-32.466045,5.000000,
04/12/2018  11:00:11.125,-82.290550,116.893028,-18.770029,5.000000,
04/12/2018  11:00:11.132,-86.105598,148.138260,-3.319091,5.000000,
04/12/2018  11:00:11.140,-83.549522,119.258354,-13.314512,5.000000,
04/12/2018  11:00:11.148,-73.706696,77.483597,-19.189684,5.000000,
04/12/2018  11:00:11.156,-59.896233,-75.423470,-66.915916,5.000000,
04/12/2018  11:00:11.164,-48.832596,-176.140701,-4.883260,5.000000,
04/12/2018  11:00:11.171,-50.129711,-241.721344,-29.414009,5.000000,
04/12/2018  11:00:11.179,-61.460400,-254.921417,-14.497177,5.000000,
04/12/2018  11:00:11.187,-68.136734,-202.998627,-24.187395,5.000000,
04/12/2018  11:00:11.195,-67.030365,-216.809097,-35.594383,5.000000,
04/12/2018  11:00:11.203,-60.239586,-158.019226,-11.979246,5.000000,
04/12/2018  11:00:11.210,-47.688084,-93.201584,-17.320311,5.000000,
04/12/2018  11:00:11.218,-24.378147,-64.893944,5.035861,5.000000,
04/12/2018  11:00:11.226,-2.594232,15.870594,-21.783916,5.000000,
04/12/2018  11:00:11.234,3.471692,5.646269,70.349457,5.000000,
04/12/2018  11:00:11.242,-8.507554,8.812757,14.115672,5.000000,
04/12/2018  11:00:11.250,-21.936518,28.307646,-19.876392,5.000000,
04/12/2018  11:00:11.257,-33.686859,-18.846331,-32.351593,5.000000,
04/12/2018  11:00:11.265,-45.589806,1.449718,-44.101936,5.000000,
04/12/2018  11:00:11.273,-52.571342,-36.548145,-40.096138,5.000000,
04/12/2018  11:00:11.281,-54.097359,-36.853348,-14.764230,5.000000,
04/12/2018  11:00:11.289,-46.543568,14.420876,-2.975736,5.000000,
04/12/2018  11:00:11.296,-32.427895,-20.067144,-28.345797,5.000000,
04/12/2018  11:00:11.304,-22.165421,0.038150,-6.561880,5.000000,
04/12/2018  11:00:11.312,-20.563101,15.832443,19.609339,5.000000,
04/12/2018  11:00:11.320,-25.598963,63.558674,11.902946,5.000000,
04/12/2018  11:00:11.328,-39.790936,186.136124,-15.412788,5.000000,
04/12/2018  11:00:11.335,-55.814133,220.738586,-62.566765,5.000000,
04/12/2018  11:00:11.343,-68.594536,257.553802,-17.205860,5.000000,
04/12/2018  11:00:11.351,-80.192276,231.535172,-28.269495,5.000000,
04/12/2018  11:00:11.359,-91.179611,133.679230,-35.098427,5.000000,
04/12/2018  11:00:11.367,-100.564629,65.046547,-46.162064,5.000000,
04/12/2018  11:00:11.375,-97.741493,-46.886921,-25.522661,5.000000,
